year,overall_pick,round,team_drafted,player_name,college
2012,32,R2,Philadelphia Union,Greg Jordan,Creighton
2012,33,R2,San Jose Earthquakes,Chris Blais,South Florida
2012,34,R2,Seattle Sounders,Babayele Sodade,
2012,35,R2,Philadelphia Union,Ray Gaddis,West Virginia
2012,36,R2,Real Salt Lake,Sebastián Velásquez,Spartanburg Methodist (SC)
2012,37,R2,Houston Dynamo,Warren Creavalle,Central Florida
2012,38,R2,LA Galaxy,Kenney Walker,Louisville
2013,1,R1,New England Revolution,Andrew Farrell,Louisville
2013,2,R1,Chivas USA,Carlos Alvarez,Connecticut
2013,3,R1,Toronto FC,Kyle Bekker,Boston College
2013,4,R1,Vancouver Whitecaps FC,Kekuta Manneh,
2013,5,R1,Vancouver Whitecaps FC,Erik Hurtado,Santa Clara
2013,6,R1,Colorado Rapids,Deshorn Brown,Central Florida
2013,7,R1,FC Dallas,Walker Zimmerman,Furman
2013,8,R1,CF Montréal,Blake Smith,New Mexico
2013,9,R1,Columbus Crew,Ryan Finley,Notre Dame
2013,10,R1,Seattle Sounders,Eriq Zavaleta,Indiana
2013,11,R1,Colorado Rapids,Dillon Powers,Notre Dame
2013,12,R1,Real Salt Lake,John Stertzer,Maryland
2013,13,R1,Houston Dynamo,Jason Johnson,
2013,14,R1,Sporting Kansas City,Mikey Lopez,North Carolina
2013,15,R1,San Jose Earthquakes,Tommy Muller,Georgetown
2013,16,R1,Toronto FC,Emery Welshman,Oregon State
2013,17,R1,D.C. United,Taylor Kemp,Maryland
2013,18,R1,CF Montréal,Fernando Monge,UCLA
2013,19,R1,LA Galaxy,Charlie Rugg,Boston College
2013,20,R2,FC Dallas,Ryan Hollingshead,UCLA
2013,21,R2,New England Revolution,Donnie Smith,Charlotte
2013,22,R2,Red Bull New York,Ian Christianson,Georgetown
2013,23,R2,New England Revolution,Luke Spencer,Xavier
2013,24,R2,LA Galaxy,Kofi Opare,Michigan
2013,25,R2,Colorado Rapids,Kory Kindle,Cal State Bakersfield
2013,26,R2,Philadelphia Union,Don Anding,Northeastern
2013,27,R2,CF Montréal,Paolo DelPiccolo,Louisville
2013,28,R2,Columbus Crew,Drew Beckie,Denver
2013,29,R2,Real Salt Lake,Devon Sandoval,New Mexico
2013,30,R2,Chicago Fire,Yazid Atouba,
2013,31,R2,Philadelphia Union,Stephen Okai,Mobile
2013,32,R2,CF Montréal,Brad Stuver,Cleveland State
2013,33,R2,San Jose Earthquakes,Dan Delgado,San Diego
2013,34,R2,Portland Timbers,Dylan Tucker-Gangnes,Washington
2013,35,R2,Seattle Sounders,Dylan Remick,Brown
2013,36,R2,New England Revolution,Luis Soffner,Indiana
2013,37,R2,Houston Dynamo,Jimmy Nealis,Georgetown
2013,38,R2,LA Galaxy,Greg Cochrane,Louisville
2014,1,R1,Philadelphia Union,Andre Blake,Connecticut
2014,2,R1,D.C. United,Steve Birnbaum,California
2014,3,R1,Vancouver Whitecaps FC,Christian Dean,California
2014,4,R1,New England Revolution,Steve Neumann,Georgetown
2014,5,R1,CF Montréal,Eric Miller,Creighton
2014,6,R1,FC Dallas,Tesho Akindele,Colorado Mines
2014,7,R1,Vancouver Whitecaps FC,Andre Lewis,
2014,8,R1,Seattle Sounders,Damion Lowe,Hartford
2014,9,R1,San Jose Earthquakes,J. J. Koval,Stanford
2014,10,R1,Toronto FC,Nick Hagglund,Xavier
2014,11,R1,New England Revolution,Patrick Mullins,Marylad
2014,12,R1,Colorado Rapids,Marlon Hairston,Louisville
2014,13,R1,Chicago Fire,Marco Franco,UC Irvine
2014,14,R1,Columbus Crew,Ben Sweat,South Florida
2014,15,R1,Philadelphia Union,Pedro Ribeiro,Coastal Carolina
2014,16,R1,Houston Dynamo,A. J. Cochran,Wisconsin
2014,17,R1,Portland Timbers,Schillo Tshuma,Maryland
2014,18,R1,Real Salt Lake,Ryan Neil,California
2014,19,R1,Colorado Rapids,Grant Van De Casteele,Notre Dame
2014,20,R2,Chivas USA,Thomas McNamara,Clemson
2014,21,R2,Seattle Sounders,Jimmy Ockford,Louisville
2014,22,R2,Red Bull New York,Chris Duvall,Wake Forest
2014,23,R2,LA Galaxy,Kyle Venter,New Mexico
2014,24,R2,Toronto FC,Daniel Lovitz,Elon
2014,25,R2,Philadelphia Union,Kevin Cope,Michigan State
2014,26,R2,Portland Timbers,Taylor Peay,Washington
2014,27,R2,Philadelphia Union,Robbie Derschang,Akron
2014,28,R2,San Jose Earthquakes,Joe Sofia,UCLA
2014,29,R2,D.C. United,Victor Muñoz,UCLA
2014,30,R2,Vancouver Whitecaps FC,Mamadou Diouf,Connecticut
2014,31,R2,New England Revolution,Alec Sundly,California
2014,32,R2,Houston Dynamo,Mark Sherrod,Memphis
2014,33,R2,Colorado Rapids,Jared Watts,Wake Forest
2014,34,R2,Red Bull New York,Eric Stevenson,Akron
2014,35,R2,Colorado Rapids,John Berner,SIU Edwardsville
2014,36,R2,Portland Timbers,Aaron Long,UC Riverside
2014,37,R2,CF Montréal,George Malki,Cal Poly
2014,38,R2,Sporting Kansas City,Adnan Gabeljic,Saint Louis
2014,39,R3,Portland Timbers,George Fochive,Connecticut
2014,40,R3,Chivas USA,Kris Tyrpak,Houston Baptist
2014,41,R3,Sporting Kansas City,Peter Schmetz,UC Santa Barbara
2014,42,R3,Columbus Crew,Fifi Baiden,UC Santa Barbara
2014,43,R3,FC Dallas,Nick Walker,Fairleigh Dickinson
2014,44,R3,Philadelphia Union,Richie Marquez,Redlands
2014,45,R3,Columbus Crew,Adam Bedell,Detroit Mercy
2014,46,R3,Philadelphia Union,Alex Sweetin,Saint Louis
2014,47,R3,San Jose Earthquakes,A. J. Corrado,Indiana
2014,48,R3,CF Montréal,Pete Caringi,UMBC
2014,49,R3,Colorado Rapids,Tolani Ibikunle,Wake Forest
2014,50,R3,New England Revolution,Pierre Omanga,Southern New Hampshire
2014,51,R3,Vancouver Whitecaps FC,Michael Kafari,New Mexico
2014,52,R3,Philadelphia Union,Aodhan Quinn,Akron
2014,53,R3,Real Salt Lake,Joey Dillon,Georgetown
2014,54,R3,Houston Dynamo,Michael Lisch,New Mexico
2014,55,R3,Seattle Sounders,Stefano Rijssel,
2014,56,R3,D.C. United,Zach Barnes,Creighton
2014,57,R3,Sporting Kansas City,Alex Martinez,NC State
2014,58,R4,Vancouver Whitecaps FC,Mackenzie Pridham,Cal Poly
2014,59,R4,Chivas USA,Michael Nwiloh,Georgia State
2014,60,R4,Toronto FC,Kene Eze,Rutgers
2014,61,R4,Chicago Fire,Zach Bolden,Denver
2014,62,R4,FC Dallas,Ronny Santos Mendoza,
2014,63,R4,Philadelphia Union,Luca Gimenez,Wake Forest
2014,64,R4,Vancouver Whitecaps FC,Michael Calderón,New Mexico
2014,65,R4,Chicago Fire,Kadeem Dacres,UMBC
2014,66,R4,San Jose Earthquakes,Devante Dubose,Virginia Tech
2014,67,R4,CF Montréal,Jordan Ongaro,San Diego State
2014,68,R4,Colorado Rapids,Albert Edward,Lindsey Wilson
2014,69,R4,D.C. United,Travis Golden,Campbell
2014,70,R4,Real Salt Lake,Daniel Jackson,Coker
2014,71,R4,Portland Timbers,Victor Chavez,UCLA
2014,73,R4,Portland Timbers,Nikita Kotlov,Indiana
2014,74,R4,San Jose Earthquakes,Billy Knutsen,American
2014,75,R4,Chicago Fire,Bryan Ciesiulka,Marquette
2014,76,R4,Sporting Kansas City,Reinaldo Brenes,Akron
2014,77,R5,Seattle Sounders,Fabio Pereira,Michigan
2015,1,R1,Orlando City,Cyle Larin,Connecticut
2015,2,R1,New York City FC,Khiry Shelton,Oregon State
2015,3,R1,CF Montréal,Romario Williams,Central Florida
2015,4,R1,San Jose Earthquakes,Fatai Alashe,Michigan State
2015,5,R1,Portland Timbers,Nick Besler,Notre Dame
2015,6,R1,Toronto FC,Alex Bono,Syracuse
2015,7,R1,Chicago Fire,Matt Polster,SIU Edwardsville
2015,8,R1,Houston Dynamo,Zach Steinberger,Butler
2015,9,R1,Toronto FC,Clément Simonin,NC State
2015,10,R1,Sporting Kansas City,Connor Hallisey,California
2015,11,R1,Toronto FC,Skylar Thomas,Syracu
2015,12,R1,Sporting Kansas City,Saad Abdul-Salaam,Akron
2015,13,R1,Vancouver Whitecaps FC,Tim Parker,St. John's (NY)
2015,14,R1,Colorado Rapids,Axel Sjöberg,Marquette
2015,15,R1,FC Dallas,Otis Earle,UC Riverside
2015,16,R1,Seattle Sounders,Cristian Roldan,Washington
2015,17,R1,D.C. United,Miguel Aguilar,San Francisco
2015,18,R1,Red Bull New York,Leo Stolz,UCLA
2015,19,R1,Columbus Crew,Sergio Campbell,Connecticut
2015,20,R1,Sporting Kansas City,Amadou Dia,Clemson
2015,21,R1,LA Galaxy,Ignacio Maganto,Iona
2015,22,R2,Orlando City,Conor Donovan,NC State
2015,23,R2,New York City FC,Connor Brandt,San Diego
2015,24,R2,Portland Timbers,Andy Thoma,Washington
2015,25,R2,Orlando City,Akeil Barrett,Tulsa
2015,26,R2,Colorado Rapids,Joseph Greenspan,Navy
2015,27,R2,Real Salt Lake,Boyd Okwuonu,North Carolina
2015,28,R2,Chicago Fire,Kingsley Bryce,Saint Louis
2015,29,R2,Toronto FC,Wesley Charpie,South Florida
2015,30,R2,Houston Dynamo,Oumar Ballo,UMBC
2015,31,R2,Philadelphia Union,Dzenan Catic,Davenport
2015,32,R2,Portland Timbers,Christian Volesky,SIU Edwardsville
2015,33,R2,Seattle Sounders,Tyler Miller,Northwestern
2015,34,R2,Portland Timbers,Kharlton Belmar,
2015,35,R2,Columbus Crew,Sagi Lev-Ari,Cal State Northridge
2015,36,R2,Houston Dynamo,Rob Lovejoy,North Carolina
2015,37,R2,Toronto FC,Edwin Rivas,Cal State Northridge
2015,38,R2,Vancouver Whitecaps FC,Kay Banjo,UMBC
2015,39,R2,Red Bull New York,Stefano Bonomo,California
2015,40,R2,Seattle Sounders,Oniel Fisher,New Mexico
2015,41,R2,Philadelphia Union,Eric Bird,Virginia
2015,42,R2,D.C. United,Dan Metzger,Maryland
2015,43,R3,Orlando City,Earl Edwards Jr.,UCLA
2015,44,R3,New York City FC,Andre Rawls,St. Mary's (CA)
2015,45,R3,CF Montréal,Cameron Porter,Princeton
2015,46,R3,San Jose Earthquakes,Keasel Broome,Providence
2015,47,R3,New England Revolution,Marc Fenelus,Cal State Fullerton
2015,48,R3,Seattle Sounders,Andy Craven,North Carolina
2015,49,R3,Houston Dynamo,Taylor Hunter,Denver
2015,50,R3,Toronto FC,Mike Ramos,Whitworth
2015,51,R3,Philadelphia Union,Aaron Simmons,UCLA
2015,52,R3,Portland Timbers,Anthony Manning,Saint Louis
2015,53,R3,Sporting Kansas City,James Rogers,New Mexico
2015,54,R3,Vancouver Whitecaps FC,Jovan Blagojević,Simon Fraser
2015,55,R3,Columbus Crew,Robert Kristo,Saint Louis
2015,56,R3,FC Dallas,Will Seymore,Oregon State
2015,57,R3,Real Salt Lake,Jordan Murrell,Syracuse
2015,58,R3,Vancouver Whitecaps FC,Adam Montague,Michigan State
2015,59,R3,Red Bull New York,Shawn McLaws,Coastal Carolina
2015,60,R3,Columbus Crew,Tomas Gomez,Georgetown
2015,61,R3,Vancouver Whitecaps FC,Spencer Richey,Washington
2015,62,R3,LA Galaxy,Daniel Keller,Louisville
2015,63,R3,Orlando City,Sidney Rivera,Old Dominion
2015,64,R4,New York City FC,Markus Naglestad,Providence
2015,65,R4,CF Montréal,Cameron Iwasa,UC Irvine
2015,66,R4,San Jose Earthquakes,Chimdum Mez,Sacramento State
2015,67,R4,Colorado Rapids,Dominique Badji,Boston University
2015,68,R4,Chicago Fire,Alex Shinsky,Maryland
2015,69,R4,Columbus Crew,Kalen Ryden,Midwestern State
2015,70,R4,Toronto FC,Sal Bernal,UNLV
2015,71,R4,Philadelphia Union,Raymond Lee,Saint Louis
2015,72,R4,Vancouver Whitecaps FC,Craig Nitti,Loyola Marymount
2015,73,R4,Sporting Kansas City,Tony Rocha,Tulsa
2015,74,R4,Vancouver Whitecaps FC,Nikola Paunic,South Florida
2015,75,R4,Seattle Sounders,Charlie Lyon,Marquette
2015,77,R4,Real Salt Lake,Lucas Baldin,South Florida
2015,79,R4,Red Bull New York,Manolo Sanchez,Clemson
2015,81,R4,Toronto FC,Tyler Engel,North Carolina
2015,82,R4,LA Galaxy,Andrew Wolverton,Penn State
2015,83,R4,Colorado Rapids,Brandon Fricke,Butler
2015,84,R4,Portland Timbers,Seth Casiple,California
2016,1,R1,Chicago Fire,Jack Harrison,Wake Forest
2016,2,R1,Philadelphia Union,Joshua Yaro,Georgetown
2016,3,R1,Philadelphia Union,Keegan Rosenberry,Georgetown
2016,4,R1,Chicago Fire,Brandon Vincent,Stanford
2016,5,R1,Real Salt Lake,Omar Holness,North Carolina
2016,6,R1,Philadelphia Union,Fabian Herbers,Creighton
2016,7,R1,Orlando City,Richie Laryea,Akron
2016,8,R1,San Jose Earthquakes,Andrew Tarbell,Clemson
2016,9,R1,Toronto FC,Tsubasa Endoh,Maryland
2016,10,R1,New England Revolution,Jordan McCrary,North Carolina
2016,11,R1,D.C. United,Julian Büscher,Syracuse
2016,12,R1,Chicago Fire,Jonathan Campbell,North Carolina
2016,13,R1,Orlando City,Hadji Barry,Central Florida
2016,14,R1,CF Montréal,Kyle Fisher,Clemson
2016,15,R1,Colorado Rapids,Emmanuel Appiah,Cincinnati
2016,16,R1,Vancouver Whitecaps FC,Cole Seiler,Georgetown
2016,17,R1,FC Dallas,Ryan Herman,Washington
2016,18,R1,Red Bull New York,Justin Bilyeu,SIU Edwardsville
2016,19,R1,Columbus Crew,Rodrigo Saravia,Florida Gulf Coast
2016,20,R1,Portland Timbers,Ben Polk,Syracuse
2016,21,R2,Columbus Crew,Chase Minter,Cal Poly
2016,22,R2,Chicago Fire,Alex Morrell,North Florida
2016,23,R2,Philadelphia Union,Taylor Washington,George Mason
2016,24,R2,CF Montréal,Michael Salazar,UC Riverside
2016,25,R2,Real Salt Lake,Max Lachowecki,Notre Dame
2016,26,R2,Houston Dynamo,Ivan Magalhães,Maryland
2016,27,R2,Seattle Sounders,Tony Alfaro,Cal State Dominguez Hills
2016,28,R2,San Jose Earthquakes,Patrick Hodan,Notre Dame
2016,29,R2,Vancouver Whitecaps FC,Christopher Hellmann,Lynn (FL)
2016,30,R2,New England Revolution,Michael Gamble,Wake Forest
2016,31,R2,Columbus Crew,Kyle Parker,Charlotte
2016,32,R2,D.C. United,Paul Clowes,Clemson
2016,33,R2,FC Dallas,Timo Pitter,Creighton
2016,34,R2,CF Montréal,Eric Verso,Stanford
2016,35,R2,Seattle Sounders,Zach Mathers,Duke
2016,36,R2,Vancouver Whitecaps FC,Thomas Sanner,Princeton
2016,37,R2,Colorado Rapids,Dennis Castillo,
2016,38,R2,Red Bull New York,Zach Carroll,Michigan State
2016,39,R2,CF Montréal,Keegan Smith,San Diego
2016,40,R2,Portland Timbers,Neco Brett,Robert Morris
2016,41,R3,Columbus Crew,Marshall Hollingsworth,Wheaton (IL)
2016,42,R3,LA Galaxy,Josh Turnley,Georgetown
2016,43,R3,Colorado Rapids,Chris Froschauer,Ohio State
2016,44,R3,Philadelphia Union,Mitchell Lurie,Rutgers
2016,45,R3,FC Dallas,Colin Bonner,UNC Wilmington
2016,46,R3,Real Salt Lake,Amass Amankona,Dayton
2016,47,R3,Houston Dynamo,T. J. Casner,Clemson
2016,48,R3,Orlando City,Antonio Matarazzo,Columbia
2016,49,R3,San Jose Earthquakes,Kip Colvey,Cal Poly
2016,50,R3,Vancouver Whitecaps FC,James Moberg,Washington
2016,51,R3,New England Revolution,Femi Hollinger-Janzen,Indiana
2016,52,R3,Sporting Kansas City,Ryan James,Bowling Green
2016,54,R3,Seattle Sounders,Emir Alihodžić,Omaha
2016,55,R3,CF Montréal,Brendan Hines-Ike,South Florida
2016,56,R3,Colorado Rapids,Javan Torre,UCLA
2016,58,R3,Colorado Rapids,Bradley Kamdem,UNLV
2016,59,R3,Toronto FC,Mitchell Taintor,Rutgers
2016,60,R3,Columbus Crew,Vince Cicciarelli,Saint Louis
2016,61,R4,Portland Timbers,Wade Hamilton,Cal Poly
2016,64,R4,Philadelphia Union,Cole Missimo,Northwestern
2016,65,R4,Real Salt Lake,Connor Sparrow,Creighton
2016,67,R4,D.C. United,Liam Doyle,Ohio State
2016,68,R4,Orlando City,Tobenna Uzo,Coastal Carolina
2016,70,R4,Toronto FC,Darius Madison,UMBC
2016,71,R4,Vancouver Whitecaps FC,Josh Heard,Washington
2016,76,R4,Seattle Sounders,Michael Nelson,Old Dominion
2016,77,R4,Vancouver Whitecaps FC,Tyler David,Saint Louis
2016,80,R4,Toronto FC,Brian James,Penn State
2016,81,R5,Portland Timbers,Trevor Morley,Cal State Northridge
